vitrine         quadro                           tema    tamanho                   fora-do-antialias/diferentes/total  maior Δ  veredito                      
admin-dialogos  encerrar-sessoes-dialog          escuro  342x423                   8596/46116/144666                   168      informa (mudou, como esperado)
admin-dialogos  apagar-usuario-dialog-com-email  escuro  342x527                   13757/16365/180234                  138      informa (mudou, como esperado)
admin-dialogos  apagar-usuario-dialog-sem-email  escuro  342x559                   13757/16349/191178                  138      informa (mudou, como esperado)
admin-dialogos  gerar-relatorio-dialog           escuro  342x831 vs 342x829        8707/9705/284202                    255      informa (mudou, como esperado)
admin-dialogos  (foto inteira)                   escuro  390x15433 vs 390x15427    337767/450379/6018870               255      informa (foto inteira)        
relatorio       kpi-tiles                        claro   1392x95 vs 1392x94        13193/14900/132240                  255      informa (mudou, como esperado)
relatorio       kpi-tiles-delta                  claro   1392x95 vs 1392x94        12693/14424/132240                  255      informa (mudou, como esperado)
relatorio       grupo-kpis                       claro   1392x86 vs 1392x89        9080/10248/123888                   255      informa (mudou, como esperado)
relatorio       card-relatorio                   claro   1392x134 vs 1392x138      12479/13055/192096                  255      informa (mudou, como esperado)
relatorio       card-relatorio-vazio             claro   1392x140 vs 1392x146      13014/13323/203232                  255      informa (mudou, como esperado)
relatorio       celulas                          claro   1392x73 vs 1392x72        5629/6096/101616                    255      informa (mudou, como esperado)
relatorio       tabela-saidas                    claro   1392x265 vs 1392x264      27729/31143/368880                  255      informa (mudou, como esperado)
relatorio       tabela-entradas                  claro   1392x233 vs 1392x232      25830/28217/324336                  255      informa (mudou, como esperado)
relatorio       tabela-transferencias            claro   1392x195                  7977/9036/271440                    245      informa (mudou, como esperado)
relatorio       tabela-movimentacoes             claro   1392x119                  11718/12691/165648                  255      informa (mudou, como esperado)
relatorio       tabela-mov-itens                 claro   1392x201 vs 1392x200      19160/20449/279792                  255      informa (mudou, como esperado)
relatorio       tabela-itens-grupo               claro   1392x144                  6919/7515/200448                    255      informa (mudou, como esperado)
relatorio       filtros-tabela                   claro   1392x28                   0/0/38976                           0        informa (não mudou)           
relatorio       grupo-colapsavel                 claro   1392x76                   0/0/105792                          0        informa (não mudou)           
relatorio       legenda-delta                    claro   1392x20                   0/0/27840                           0        ok (zero)                     
relatorio       legenda-estorno                  claro   1392x20                   0/0/27840                           0        ok (zero)                     
relatorio       legenda-troca                    claro   1392x20                   0/0/27840                           0        ok (zero)                     
relatorio       legenda-manutencao               claro   1392x26 vs 1392x28        3811/4018/38976                     255      informa (mudou, como esperado)
relatorio       glossario-relatorio              claro   1392x494 vs 1392x508      95362/103335/707136                 255      informa (mudou, como esperado)
relatorio       lista-manutencao                 claro   1392x32 vs 1392x28        7416/7581/44544                     255      informa (mudou, como esperado)
relatorio       lista-modelo                     claro   1392x64 vs 1392x57        14373/14555/89088                   255      informa (mudou, como esperado)
relatorio       lista-modelo-categoria           claro   1392x123 vs 1392x112      31451/41848/171216                  255      informa (mudou, como esperado)
relatorio       lista-reservados                 claro   1392x64 vs 1392x57        15658/15917/89088                   255      informa (mudou, como esperado)
relatorio       manutencao-casos                 claro   1392x145 vs 1392x132      39588/41855/201840                  255      informa (mudou, como esperado)
relatorio       medidor-minimo-folga             claro   1392x6                    0/0/8352                            0        ok (zero)                     
relatorio       medidor-minimo-atencao           claro   1392x15 vs 1392x16        1635/1662/22272                     255      informa (mudou, como esperado)
relatorio       medidor-minimo-abaixo            claro   1392x6                    0/0/8352                            0        ok (zero)                     
relatorio       observacao-card                  claro   1392x93                   226/275/129456                      255      informa (mudou, como esperado)
relatorio       resumo-periodo                   claro   1392x190 vs 1392x224      54821/55594/311808                  255      informa (mudou, como esperado)
relatorio       (foto inteira)                   claro   1440x5854 vs 1440x5870    599237/758874/8452800               255      informa (foto inteira)        
relatorio       kpi-tiles                        claro   342x406 vs 342x410        19269/21079/140220                  255      informa (mudou, como esperado)
relatorio       kpi-tiles-delta                  claro   342x406 vs 342x410        20108/22013/140220                  255      informa (mudou, como esperado)
relatorio       grupo-kpis                       claro   342x181 vs 342x190        10795/13465/64980                   255      informa (mudou, como esperado)
relatorio       card-relatorio                   claro   342x126 vs 342x122        5395/5922/43092                     255      informa (mudou, como esperado)
relatorio       card-relatorio-vazio             claro   342x132 vs 342x130        2884/3216/45144                     255      informa (mudou, como esperado)
relatorio       celulas                          claro   342x73 vs 342x72          2786/3108/24966                     255      informa (mudou, como esperado)
relatorio       tabela-saidas                    claro   342x438                   11372/13037/149796                  255      informa (mudou, como esperado)
relatorio       tabela-entradas                  claro   342x348                   7763/9042/119016                    245      informa (mudou, como esperado)
relatorio       tabela-transferencias            claro   342x199                   4756/5429/68058                     245      informa (mudou, como esperado)
relatorio       tabela-movimentacoes             claro   342x191                   5011/5524/65322                     245      informa (mudou, como esperado)
